Артикул,Имя атрибута 1,Значение(-я) аттрибута(-ов) 1,Видимость атрибута 1,Глобальный атрибут 1,Имя атрибута 2,Значение(-я) аттрибута(-ов) 2,Видимость атрибута 2,Глобальный атрибут 2,Имя атрибута 3,Значение(-я) аттрибута(-ов) 3,Видимость атрибута 3,Глобальный атрибут 3,Имя атрибута 4,Значение(-я) аттрибута(-ов) 4,Видимость атрибута 4,Глобальный атрибут 4,Имя атрибута 5,Значение(-я) аттрибута(-ов) 5,Видимость атрибута 5,Глобальный атрибут 5,Pillowcases,70*70,1,1
38338,Size,140*210,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
38345,Size,155*215,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
38352,Size,170*215,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
38369,Size,195*215,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
39748,Size,95*145,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
35530,Size,140*210,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
37817,Size,155*215,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
37824,Size,195*215,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
32324,Size,155*215,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
32331,Size,195*215,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
32348,Size,95*145,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
26439,Size,140*210,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
26453,Size,155*215,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
26446,Size,170*210,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
26460,Size,195*215,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
38291,Size,140*210,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
38307,Size,155*215,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
38314,Size,170*215,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
38321,Size,195*215,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
38277,Size,155*215,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
38284,Size,195*215,1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
48834,Size,160*200,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
48841,Size,180*200,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
48803,Size,60*120,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
48858,Size,80*190,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
48810,Size,80*200,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
48827,Size,90*200,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
48797,Size,160*200,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
48773,Size,60*120,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
48865,Size,80*190,1,1,Country,Турция,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
21809,Size,100*200*25(борт на резинке 25 см),1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
21816,Size,160*200*25(борт на резинке 25 см),1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
21823,Size,180*200*25(борт на резинке 25 см),1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
21793,Size,60*120*10(борт на резинке 10 см),1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
39625,Size,160*200*25(борт на резинке 25 см),1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
39649,Size,160*200*25(борт на резинке 25 см),1,1,Country,Украина,1,1,,,,,Brand,LightHouse,1,1,,,,,,,,
40294,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
40287,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
40324,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
40348,Size,170*210,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
40331,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
40379,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
40300,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
40317,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
40355,Size,140*200,1,1,Country,Украина,1,1,,,,,Brand,Vladi,1,1,,,,,,,,
